7.407,18,51.2,0.0039139
7.497,51,51.22,0.00039055
7.557,0,51.2,-0.00039055
7.617,0,51.2,0
7.707,0,51.2,0
7.977,0,51.19,-0.00019533
8.067,-8,51.11,-0.001564
8.128,0,51.11,0
8.217,0,51.15,0.00078232
8.697,1,51.22,0.0013676
9.028,7,51.25,0.00058554
9.297,0,51.22,-0.00058554
9.507,-11,51.12,-0.0019543
9.597,0,51.15,0.00058668
9.867,4,51.18,0.00058634
10.317,3,51.21,0.00058599
10.467,-3,51.15,-0.0011723
10.528,-15,50.97,-0.0035253
10.677,15,51.15,0.0035253
10.737,0,51.12,-0.00058668
10.828,-3,51.09,-0.00058703
11.037,-12,51.02,-0.0013711
11.128,2,51.02,0
11.277,0,51.05,0.00058783
11.337,0,51.08,0.00058749
11.428,6,51.08,0
11.517,0,51.05,-0.00058749
11.667,-14,51.08,0.00058749
11.728,15,51.09,0.00019575
11.818,0,51.06,-0.00058737
11.878,-2,51.09,0.00058737
12.028,0,51.09,0
12.238,3,51.1,0.00019571
12.298,0,51.07,-0.00058726
12.778,-25,50.74,-0.0064827
13.198,-20,50.88,0.0027554
13.288,-11,50.91,0.00058945
13.588,37,50.87,-0.00078601
13.648,-3,50.86,-0.0001966
13.708,-26,50.85,-0.00019664
13.798,27,50.88,0.0005898
14.068,0,50.88,0
14.218,0,50.91,0.00058945
15.838,-20,50.86,-0.00098261
16.229,17,50.87,0.0001966
16.888,1,50.87,0
17.458,-3,50.85,-0.00039324
17.548,0,50.88,0.0005898
17.668,1,50.88,0
18.029,12,51,0.0023557
18.088,1,50.98,-0.00039223
18.178,2,51,0.00039223
18.329,0,50.97,-0.00058841
18.388,-20,50.85,-0.0023571
18.448,5,50.88,0.0005898
18.538,3,50.96,0.0015711
18.658,0,50.98,0.00039239
18.808,10,50.95,-0.00058864
19.018,0,50.98,0.00058864
19.078,0,50.98,0
19.168,0,50.98,0
19.288,0,51.01,0.00058829
19.378,3,50.98,-0.00058829
19.498,-6,50.95,-0.00058864
19.588,-4,50.92,-0.00058899
19.798,-9,50.88,-0.00078585
20.158,3,50.85,-0.0005898
20.578,0,50.88,0.0005898
20.698,3,50.85,-0.0005898
20.788,-1,50.87,0.00039324
20.908,-7,50.84,-0.00058991
21.208,4,50.87,0.00058991
21.418,0,50.84,-0.00058991
21.838,-3,50.81,-0.00059026
21.898,0,50.84,0.00059026
21.988,0,50.9,0.0011795
22.048,0,50.9,0
22.198,0,50.86,-0.00078616
22.408,8,50.86,0
22.558,0,50.89,0.00058968
22.828,0,50.86,-0.00058968
22.978,0,50.86,0
23.129,-19,50.73,-0.0025593
23.488,17,50.84,0.002166
24.148,-7,50.87,0.00058991
24.208,7,50.88,0.00019656
24.594,-19,50.95,0.0013748
24.804,28,50.99,0.00078478
24.924,-5,50.94,-0.00098107
25.014,0,50.99,0.00098107
25.29,-3,50.88,-0.0021596
25.38,0,50.88,0
25.44,0,50.85,-0.0005898
25.77,-3,50.88,0.0005898
25.92,3,51.01,0.0025518
25.98,0,51.02,0.00019602
26.04,5,50.94,-0.0015692
26.34,-3,50.85,-0.0017683
26.46,1,50.9,0.0009828
26.61,6,50.89,-0.00019648
26.67,-30,50.94,0.00098203
26.88,10,50.92,-0.0003927
26.97,20,50.94,0.0003927
27.09,0,50.99,0.00098107
27.24,-6,50.99,0
27.48,8,50.96,-0.00058852
27.54,0,50.97,0.00019621
27.63,-2,51,0.00058841
27.81,11,51.05,0.00097991
27.87,3,51.11,0.0011746
28.02,-8,51.13,0.00039124
28.08,0,51.25,0.0023442
28.17,22,51.22,-0.00058554
28.44,6,51.28,0.0011707
28.5,0,51.28,0
28.56,0,51.3,0.00038994
28.68,1,51.32,0.00038979
28.74,0,51.29,-0.00058474
28.83,0,51.32,0.00058474
28.89,6,51.35,0.0005844
28.98,-2,51.37,0.00038941
29.16,1,51.45,0.0015561
29.37,10,51.44,-0.00019438
29.58,-5,51.45,0.00019438
29.67,0,51.45,0
29.88,0,51.45,0
30.18,0,51.45,0
30.24,0,51.5,0.00097135
30.45,8,51.5,0
30.87,0,51.45,-0.00097135
30.96,-44,51.5,0.00097135
31.44,15,51.52,0.00038827
31.53,0,51.7,0.0034877
31.59,3,51.57,-0.0025177
31.8,37,51.61,0.00077534
32.01,11,51.72,0.0021291
32.31,0,51.69,-0.00058021
32.37,5,51.72,0.00058021
32.43,0,51.74,0.00038662
32.52,0,51.74,0
32.73,3,51.77,0.00057965
32.85,0,51.78,0.00019314
32.94,-2,51.81,0.00057921
33.21,8,51.81,0
33.3,-19,51.64,-0.0032866
33.42,-14,51.5,-0.0027148
33.51,-1,51.5,0
33.57,-7,51.47,-0.00058269
33.72,0,51.42,-0.00097191
33.84,-33,51.41,-0.0001945
33.93,32,51.42,0.0001945
34.05,-2,51.42,0
34.29,-6,51.42,0
34.44,-24,51.39,-0.0005836
34.59,0,51.41,0.00038911
34.92,29,51.38,-0.00058371
35.07,-29,51.35,-0.00058406
35.13,23,51.38,0.00058406
35.22,0,51.35,-0.00058406
35.34,0,51.32,-0.0005844
35.49,-23,51.35,0.0005844
35.58,20,51.32,-0.0005844
35.79,-20,51.34,0.00038964
35.85,17,51.31,-0.00058451
35.941,2,51.28,-0.00058485
36,-19,51.14,-0.0027338
36.061,0,51.31,0.0033187
36.21,0,51.28,-0.00058485
36.27,16,51.34,0.0011694
36.361,3,51.31,-0.00058451
36.421,0,51.37,0.0011687
36.721,6,51.37,0
36.78,-3,51.34,-0.00058417
36.841,-19,51.12,-0.0042944
36.991,-3,51.37,0.0048785
37.261,25,51.37,0
